,proteins
0,Q6C2S3
1,B0SM57
2,Q2IUT4
3,Q2YAB2
4,A4W838
5,Q0CTD7
6,Q755D0
7,A1BI59
8,Q6FIY7
9,Q6LNY8
10,Q64437
11,B8CIB4
12,P43940
13,A6TEB7
14,A1CTL8
15,Q9UFV1
16,Q8XEA1
17,P70718
18,Q39Y11
19,A0L4W1
20,Q83MS7
21,Q054P6
22,Q688S6
23,Q5HBY1
24,Q7CPL7
25,A5GFW1
26,Q892J5
27,A9IKY5
28,Q2IQ87
29,B2RIF8
30,A4D9R3
31,Q3YT89
32,Q6N869
33,A5GLQ5
34,B6EPU7
35,O51449
36,B8D2I3
37,P0ACH6
38,Q655X0
39,P24900
40,P0CD77
41,P57620
42,Q47KH4
43,P12411
44,P48638
45,Q00539
46,A6VK03
47,Q99MB2
48,O70201
49,P54052
50,Q3Z864
51,Q9I595
52,Q8G5X7
53,Q7VQJ0
54,Q658Y4
55,Q73MV2
56,Q1MPK8
57,B0JLP1
58,A8F994
59,A7H9V3
60,Q91W20
61,B8F758
62,A2RI94
63,Q9LX27
64,Q7N8K3
65,Q6MJ09
66,B7IFU1
67,O74858
68,Q92328
69,Q5BK85
70,A2QCJ2
71,Q836B1
72,P38167
73,Q6ZNC4
74,Q8BTV2
75,Q3AAA4
76,P76172
77,Q8FP85
78,Q3U308
79,P56962
80,Q8F7K1
81,Q9H0W7
82,B9KEB7
83,A6LSC8
84,B1MCH3
85,Q9Z427
86,Q8W571
87,Q6TGZ5
88,A0B533
89,Q8PUR8
90,P62664
91,P76149
92,Q12513
93,Q8N1D0
94,Q3J6U6
95,Q57796
96,C6WIE4
97,A7TIN6
98,Q8Y288
99,P37214
100,Q19AV6
101,B6EK56
102,A7ZDF3
103,Q55G88
104,A6QB72
105,P40100
106,Q8N8L6
107,Q7VRN1
108,Q65JE2
109,P34068
110,P44551
111,P94514
112,Q6PIF2
113,P08077
114,A8AJH3
115,P09126
116,Q9HB31
117,Q6Q7J5
118,A4Y5R0
119,Q8XV54
120,Q9ULW5
121,O34530
122,O25514
123,Q5EAD2
124,Q0C2D0
125,Q5R7J8
126,P40935
127,G0RH19
128,Q477Z5
129,P66764
130,P36969
131,O57656
132,Q1AU54
133,Q8TEB9
134,Q08157
135,A2C405
136,A4W527
137,Q86AY4
138,C1F8U3
139,Q553X7
140,Q9UIY3
141,Q9Y7L1
142,P08922
143,Q5HPU2
144,Q39ZT0
145,B1HSN5
146,A3QBQ0
147,P54258
148,O96019
149,Q9KSP7
150,A5DI11
151,A6UEE2
152,Q9CR75
153,Q48EE1
154,B8AVX5
155,B3R7E4
156,Q5Z1L3
157,O44712
158,Q9QYH7
159,Q9WVB0
160,P49800
161,Q49YE4
162,Q616Q2
163,Q57998
164,C0MCT3
165,B5YKE9
166,Q9D3W4
167,Q9UHI7
168,Q31C38
169,A6GYX5
170,B4S6S2
171,A8ALJ6
172,Q5R864
173,Q8Q0L8
174,Q9M2S3
175,P21614
176,B5YDE1
177,Q9PQQ1
178,A5FN08
179,B1X939
180,Q8Z287
181,A1WJR4
182,P64477
183,Q7TUL1
184,Q3J7X3
185,Q4WZS2
186,Q6LM29
187,Q2KZ03
188,Q82WQ4
189,A8T6P4
190,D8MQN9
191,Q5R1M5
192,A0LV27
193,Q8XZ79
194,Q86L05
195,A4RD35
196,P81556
197,B6JER8
198,A7MY04
199,A5VFP2
200,F4K1R2
201,Q2K551
202,P01002
203,Q8YM74
204,P49025
205,Q8VYK7
206,Q89SJ7
207,Q758S6
208,A1B656
209,P77993
210,Q9LNN7
211,Q99258
212,Q2JVX9
213,P61244
214,Q56B11
215,A6W393
216,Q11AV6
217,O27112
218,Q9A9P4
219,A9IHH4
220,P60300
221,Q1RM09
222,A7GXT8
223,Q49XG3
224,Q6Q886
225,B3E600
226,Q84S11
227,Q2Y5X8
